Tsp,Tsr,Pts,Pnt,Tn,Tp,Q,E,Time
-6,99,0,1.855,39.05,36.24,7.55,684300.9,2017-01-01T00:00
-6,99,0,1.992,39.05,36.24,7.55,684300.9,2017-01-01T01:00
-7,100,0,1.27,39.05,36.24,7.55,684300.9,2017-01-01T02:00
-7,99,0,1.352,39.05,36.24,7.55,684300.9,2017-01-01T03:00
-7,100,0,1.877,39.05,36.24,7.55,684300.9,2017-01-01T04:00
-7,100,0,0.035,39.3,31.12,5.14,684301,2017-01-01T05:00
-7,100,0,0.052,39.3,31.12,5.14,684301,2017-01-01T06:00
-8,101,0,0.055,39.3,31.12,5.14,684301,2017-01-01T07:00
-7,100,0,2.257,39.3,31.12,5.14,684301,2017-01-01T08:00
-6,99,0,1.57,39.3,31.12,5.14,684301,2017-01-01T09:00
-4,96,0,1.557,39.3,31.12,5.14,684301,2017-01-01T10:00
-3,95,0,1.475,39.3,31.12,5.14,684301,2017-01-01T11:00
-2,94,0,1.171,39,31.12,5.14,684301,2017-01-01T12:00
0,91,0,1.317,39,31.12,5.14,684301,2017-01-01T13:00
0,91,0,1.37,39,31.12,5.14,684301,2017-01-01T14:00
0,91,0,1.499,39,31.12,5.14,684301,2017-01-01T15:00
0,91,0,1.646,39,31.12,5.14,684301,2017-01-01T16:00
-3,95,1.425,1.896,39.06,31.12,5.14,684301,2017-01-01T17:00
-2,94,0,1.741,39.06,31.12,5.14,684301,2017-01-01T18:00
-3,95,0,1.666,39.06,31.12,5.14,684301,2017-01-01T19:00
-4,96,0,1.838,39.06,31.12,5.14,684301,2017-01-01T20:00
-5,97,0,1.959,39.06,31.12,5.14,684301,2017-01-01T21:00
-5,97,3.582,1.214,39.06,31.12,5.14,684301,2017-01-01T22:00
-5,97,1.038,1.927,39.06,31.12,5.14,684301,2017-01-01T23:00
-6,99,0.774,1.253,39,31.12,5.14,684301,2017-01-02T00:00
-6,99,0,0,39,31.12,5.14,684301,2017-01-02T01:00
-6,99,0,0,39,31.12,5.14,684301,2017-01-02T02:00
-6,99,0,0,39,31.12,5.14,684301,2017-01-02T03:00
-7,100,0,0,39,31.12,5.14,684301,2017-01-02T04:00
-7,100,0,0.017,39,31.12,5.14,684301,2017-01-02T05:00
-7,99,0,2.425,39,31.12,5.14,684301,2017-01-02T06:00
-7,99,1.604,2.671,39,31.12,5.14,684301,2017-01-02T07:00
-7,99,0.924,2.008,39.1,31.12,5.14,684301,2017-01-02T08:00
-5,96,0.913,1.841,39.1,31.12,5.14,684301,2017-01-02T09:00
-2,92,0,2.044,39.1,31.12,5.14,684301,2017-01-02T10:00
0,89,0,1.926,39.1,31.12,5.14,684301,2017-01-02T11:00
1,88,0,1.207,39.2,31.12,5.14,684301,2017-01-02T12:00
3,85,0,1.525,39.2,31.12,5.14,684301,2017-01-02T13:00
4,83,0,1.498,39.2,31.12,5.14,684301,2017-01-02T14:00
5,82,0,1.461,39.2,31.12,7.5,684301,2017-01-02T15:00
2,86,0,1.577,39.2,31.12,7.5,684301,2017-01-02T16:00
0,89,0,1.725,39.2,31.12,7.5,684301,2017-01-02T17:00
0,89,0,1.643,39.2,31.12,7.5,684301,2017-01-02T18:00
