Tsp,Tsr,Pts (MW),Pnt (MW),Time,Tn,Tp,Q (m3/h),E (MWh),temp,dew,humidity,snowdepth,windspeed
-6,99,0,1.855,1/1/2017 0:00,39.05,36.24,7.55,684300.9,-6,-9,79.32,0,5.4
-6,99,0,1.992,1/1/2017 1:00,39.05,36.24,7.55,684300.9,-7,-9,85.63,0,5.4
-7,100,0,1.27,1/1/2017 2:00,39.05,36.24,7.55,684300.9,-8,-10,85.52,0,3.6
-7,99,0,1.352,1/1/2017 3:00,39.05,36.24,7.55,684300.9,-8,-10,85.52,0,5.4
-7,100,0,1.877,1/1/2017 4:00,39.05,36.24,7.55,684300.9,-9.9,-11.8,85.94,0,5.3
-7,100,0,0.035,1/1/2017 5:00,39.3,31.12,5.14,684301,-9,-11,85.4,0,3.6
-7,100,0,0.052,1/1/2017 6:00,39.3,31.12,5.14,684301,-9,-11,85.4,0,7.6
-8,101,0,0.055,1/1/2017 7:00,39.3,31.12,5.14,684301,-9,-11,85.89,0,8.9
-7,100,0,2.257,1/1/2017 8:00,39.3,31.12,5.14,684301,-8,-11,79,0,7.6
-6,99,0,1.57,1/1/2017 9:00,39.3,31.12,5.14,684301,-6,-9,79.32,0,5.4
-4,96,0,1.557,1/1/2017 10:00,39.3,31.12,5.14,684301,-4.1,-7,79.92,0,3.6
-3,95,0,1.475,1/1/2017 11:00,39.3,31.12,5.14,684301,-3,-7,73.9,0,5.4
-2,94,0,1.171,1/1/2017 12:00,39,31.12,5.14,684301,-2,-7,68.62,0,3.6
0,91,0,1.317,1/1/2017 13:00,39,31.12,5.14,684301,-0.1,-6.9,60.18,0,1.9
0,91,0,1.37,1/1/2017 14:00,39,31.12,5.14,684301,1,-6,59.54,0,1.8
0,91,0,1.499,1/1/2017 15:00,39,31.12,5.14,684301,1,-7,55.15,0,1.8
0,91,0,1.646,1/1/2017 16:00,39,31.12,5.14,684301,-0.1,-7.9,55.77,0,3.6
-3,95,1.425,1.896,1/1/2017 17:00,39.06,31.12,5.14,684301,-3,-8,68.4,0,5.4
-2,94,0,1.741,1/1/2017 18:00,39.06,31.12,5.14,684301,-2,-7,68.62,0,9.4
-3,95,0,1.666,1/1/2017 19:00,39.06,31.12,5.14,684301,-4,-7.9,74.43,0,5.5
-4,96,0,1.838,1/1/2017 20:00,39.06,31.12,5.14,684301,-4,-8,73.71,0,11.2
-5,97,0,1.959,1/1/2017 21:00,39.06,31.12,5.14,684301,-5,-8,79.47,0,11.2
-5,97,3.582,1.214,1/1/2017 22:00,39.06,31.12,5.14,684301,-6,-8.9,79.78,0,7.3
-5,97,1.038,1.927,1/1/2017 23:00,39.06,31.12,5.14,684301,-6,-9,79.32,0,7.6
-6,99,0.774,1.253,1/2/2017 0:00,39,31.12,5.14,684301,-6,-10,73.32,0,9.4
-6,99,0,0,1/2/2017 1:00,39,31.12,5.14,684301,-7,-9.9,79.85,0,7.3
-6,99,0,0,1/2/2017 2:00,39,31.12,5.14,684301,-8,-11,79,0,7.6
-6,99,0,0,1/2/2017 3:00,39,31.12,5.14,684301,-7,-10,79.16,0,7.6
-7,100,0,0,1/2/2017 4:00,39,31.12,5.14,684301,-8,-10.9,79.7,0,8.9
-7,100,0,0.017,1/2/2017 5:00,39,31.12,5.14,684301,-8,-10,85.52,0,5.4
-7,99,0,2.425,1/2/2017 6:00,39,31.12,5.14,684301,-8,-11,79,0,5.4
-7,99,1.604,2.671,1/2/2017 7:00,39,31.12,5.14,684301,-8,-10.9,79.78,0,7.3
-7,99,0.924,2.008,1/2/2017 8:00,39.1,31.12,5.14,684301,-7,-10,79.16,0,5.4
-5,96,0.913,1.841,1/2/2017 9:00,39.1,31.12,5.14,684301,-4,-8,73.71,0,7.6
-2,92,0,2.044,1/2/2017 10:00,39.1,31.12,5.14,684301,-2,-6.1,73.29,0,5.3
0,89,0,1.926,1/2/2017 11:00,39.1,31.12,5.14,684301,0,-6,64,0,5.4
1,88,0,1.207,1/2/2017 12:00,39.2,31.12,5.14,684301,2,-6,55.42,0,5.4
3,85,0,1.525,1/2/2017 13:00,39.2,31.12,5.14,684301,3.9,-6.1,48.05,0,3.6
4,83,0,1.498,1/2/2017 14:00,39.2,31.12,5.14,684301,7,-5,42.15,0,3.6
5,82,0,1.461,1/2/2017 15:00,39.2,31.12,7.5,684301,6,-4,48.68,0,5.4
2,86,0,1.577,1/2/2017 16:00,39.2,31.12,7.5,684301,3.9,-4.1,55.95,0,0
